page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/soccer-belgium_c3898758_f47v19762702,True,Move important URLs closer to major crawl paths.,7,BELGIUM PET SOCCER JERSEYS & SCARVES | CHEWY,44,Shop Belgium dog & cat soccer jerseys & scarves at Chewy. Find officially licensed FIFA pet fan gear & cheer on the Red Devils every match day.,143,,Belgium Pet Soccer Jerseys & Scarves,1,soccer-belgium,True,False,False,False,True,False,False,True,16,318,7,,,,,,,,,,,,,,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/soccer-netherlands_c3898758_f47v19762750,True,Move important URLs closer to major crawl paths.,7,NETHERLANDS PET SOCCER JERSEYS & SCARVES | CHEWY,48,Shop Netherlands dog & cat soccer jerseys & scarves at Chewy. Find officially licensed FIFA pet fan gear & cheer on the Oranje every match day.,143,,Netherlands Pet Soccer Jerseys & Scarves,1,soccer-netherlands,True,False,False,False,True,False,False,True,16,318,7,,,,,,,,,,,,,,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/soccer-portugal_c3898758_f47v19762758,True,Move important URLs closer to major crawl paths.,7,PORTUGAL PET SOCCER JERSEYS & SCARVES | CHEWY,45,Shop Portugal dog & cat soccer jerseys & scarves at Chewy. Find officially licensed FIFA pet fan gear & cheer on Seleção das Quinas every match day.,148,,Portugal Pet Soccer Jerseys & Scarves,1,soccer-portugal,True,False,False,False,True,False,False,True,16,318,7,,,,,,,,,,,,,,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/soccer-apparel_c3898758_f218v775223,True,Move important URLs closer to major crawl paths.,7,"PET SOCCER JERSEYS, SCARVES, AND BANDANAS | CHEWY",49,"Browse dog & cat soccer jerseys, scarves, and bandanas for match day style and everyday wear. Find officially licensed FIFA pet apparel and accessories at Chewy.",161,,"Pet Soccer Jerseys, Scarves, and Bandanas",1,soccer-apparel,True,True,False,False,True,False,False,True,18,348,7,,,,,,,,,,,,,,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/soccer-toys_c3898758_f218v775206,True,Move important URLs closer to major crawl paths.,7,SOCCER TOYS FOR DOGS & CATS | CHEWY,35,"Shop soccer pet toys, including soccer balls, plush, foam, and interactive styles. Get your pet playing with officially licensed FIFA pet gear only at Chewy.",157,,Soccer Toys for Dogs & Cats,1,soccer-toys,True,True,False,False,True,False,False,True,6,342,7,,,,,,,,,,,,,,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/nba-pet-jerseys_c8489_f218v775223,True,Move important URLs closer to major crawl paths.,7,NBA PET JERSEYS (Free Shipping) | Chewy,39,"Shop Chewy for the best deals on Nba Pet Jerseys and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Nba Pet Jerseys for your pet.",211,nba pet jerseys,Nba Pet Jerseys,1,nba-pet-jerseys,True,True,False,False,True,False,False,False,1,341,7,,,,,,,1,1,1.0,1,0,0,0,8.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/philadelphia-eagles-pet-gear_c8486_f47v235763,True,Move important URLs closer to major crawl paths.,7,PHILADELPHIA EAGLES PET GEAR (Free Shipping) | Chewy,52,"""Shop Chewy for the best deals on Eagles Pet Gear and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Eagles Pet Gear for your pet.""",213,philadelphia eagles dog bandanas,Eagles Pet Gear,1,philadelphia-eagles-pet-gear,True,True,False,False,True,False,False,False,40,379,7,,,,,,,1,1,25.0,0,0,1,0,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/kansas-city-chiefs-pet-gear_c8486_f47v235760,True,Move important URLs closer to major crawl paths.,7,KANSAS CITY CHIEFS PET GEAR (Free Shipping) | Chewy,51,"Shop Chewy for the best deals on Chiefs Pet Gear and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Chiefs Pet Gear for your pet.",211,,Chiefs Pet Gear,1,kansas-city-chiefs-pet-gear,True,True,False,False,True,False,False,False,40,379,7,,,,,,,,,,,,,,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/detroit-lions-pet-gear_c8486_f47v235756,True,Move important URLs closer to major crawl paths.,7,DETROIT LIONS PET GEAR (Free Shipping) | Chewy,46,"""Shop Chewy for the best deals on Detroit Lions Pet Gear and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Detroit Lions Pet Gear for your pet.""",227,,Detroit Lions Pet Gear,1,detroit-lions-pet-gear,True,True,False,False,True,False,False,False,40,379,7,,,,,,,,,,,,,,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/buffalo-bills-pet-gear_c8486_f47v235751,True,Move important URLs closer to major crawl paths.,7,BUFFALO BILLS PET GEAR (Free Shipping) | Chewy,46,"""Shop Chewy for the best deals on Buffalo Bills Pet Gear and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Buffalo Bills Pet Gear for your pet.""",227,,Buffalo Bills Pet Gear,1,buffalo-bills-pet-gear,True,True,False,False,True,False,False,False,40,379,7,,,,,,,,,,,,,,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/dallas-cowboys-pet-gear_c8486_f47v85576,True,Move important URLs closer to major crawl paths.,7,DALLAS COWBOYS PET GEAR (Free Shipping) | Chewy,47,"""Shop Chewy for the best deals on Cowboys Pet Gear and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Cowboys Pet Gear for your pet.""",215,dallas cowboys pet gear,Cowboys Pet Gear,1,dallas-cowboys-pet-gear,True,True,False,False,True,False,False,False,40,379,7,,,,,,,1,1,5.0,1,0,0,0,2.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/san-francisco-49ers-pet-gear_c8486_f47v85593,True,Move important URLs closer to major crawl paths.,7,SAN FRANCISCO 49ERS PET GEAR (Free Shipping) | Chewy,52,"""Shop Chewy for the best deals on 49Ers Pet Gear and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right 49Ers Pet Gear for your pet.""",211,,49Ers Pet Gear,1,san-francisco-49ers-pet-gear,True,True,False,False,True,False,False,False,40,378,7,,,,,,,,,,,,,,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/chicago-bears-pet-gear_c8486_f47v235753,True,Move important URLs closer to major crawl paths.,7,CHICAGO BEARS PET GEAR (Free Shipping) | Chewy,46,"Shop Chewy for the best deals on Chicago Bears Pet Gear and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Chicago Bears Pet Gear for your pet.",225,,Chicago Bears Pet Gear,1,chicago-bears-pet-gear,True,True,False,False,True,False,False,False,40,378,7,,,,,,,,,,,,,,2.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/pittsburgh-steelers-pet-gear_c8486_f47v85591,True,Move important URLs closer to major crawl paths.,7,PITTSBURGH STEELERS PET GEAR (Free Shipping) | Chewy,52,"Shop Chewy for the best deals on Steelers Pet Gear and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Steelers Pet Gear for your pet.",215,pittsburgh steelers pet gear,Steelers Pet Gear,1,pittsburgh-steelers-pet-gear,True,True,False,False,True,False,False,False,40,379,7,,,,,,,2,2,8.0,2,0,0,0,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/green-bay-packers-pet-gear_c8486_f47v85580,True,Move important URLs closer to major crawl paths.,7,GREEN BAY PACKERS PET GEAR (Free Shipping) | Chewy,50,"Shop Chewy for the best deals on Packers Pet Gear and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Packers Pet Gear for your pet.",213,green bay packers pet gear,Packers Pet Gear,1,green-bay-packers-pet-gear,True,True,False,False,True,False,False,False,40,379,7,,,,,,,1,1,6.0,1,0,0,0,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/new-england-patriots-pet-gear_c8486_f47v85586,True,Move important URLs closer to major crawl paths.,7,NEW ENGLAND PATRIOTS PET GEAR (Free Shipping) | Chewy,53,"""Shop Chewy for the best deals on Patriots Pet Gear and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Patriots Pet Gear for your pet.""",217,,Patriots Pet Gear,1,new-england-patriots-pet-gear,True,True,False,False,True,False,False,False,40,378,7,,,,,,,,,,,,,,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/cincinnati-bengals-pet-gear_c8486_f47v235754,True,Move important URLs closer to major crawl paths.,7,CINCINNATI BENGALS PET GEAR (Free Shipping) | Chewy,51,"""Shop Chewy for the best deals on Bengals Pet Gear and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Bengals Pet Gear for your pet.""",215,cincinnati bengals pet gear,Bengals Pet Gear,1,cincinnati-bengals-pet-gear,True,True,False,False,True,False,False,False,40,379,7,,,,,,,1,1,,0,0,0,1,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/minnesota-vikings-pet-gear_c8486_f47v235761,True,Move important URLs closer to major crawl paths.,7,MINNESOTA VIKINGS PET GEAR (Free Shipping) | Chewy,50,"""Shop Chewy for the best deals on Vikings Pet Gear and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Vikings Pet Gear for your pet.""",215,,Vikings Pet Gear,1,minnesota-vikings-pet-gear,True,True,False,False,True,False,False,False,40,374,7,,,,,,,,,,,,,,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/cleveland-browns-pet-gear_c8486_f47v235755,True,Move important URLs closer to major crawl paths.,7,CLEVELAND BROWNS PET GEAR (Free Shipping) | Chewy,49,"""Shop Chewy for the best deals on Browns Pet Gear and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Browns Pet Gear for your pet.""",213,cleveland browns pet gear,Browns Pet Gear,1,cleveland-browns-pet-gear,True,True,False,False,True,False,False,False,40,376,7,,,,,,,1,1,5.0,1,0,0,0,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/seattle-seahawks-pet-gear_c8486_f47v85594,True,Move important URLs closer to major crawl paths.,7,SEATTLE SEAHAWKS PET GEAR (Free Shipping) | Chewy,49,"""Shop Chewy for the best deals on Seahawks Pet Gear and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Seahawks Pet Gear for your pet.""",217,seattle seahawks dog jerseys,Seahawks Pet Gear,1,seattle-seahawks-pet-gear,True,True,False,False,True,False,False,False,40,375,7,,,,,,,2,2,6.5,2,0,0,0,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/miami-dolphins-pet-gear_c8486_f47v85582,True,Move important URLs closer to major crawl paths.,7,MIAMI DOLPHINS PET GEAR (Free Shipping) | Chewy,47,"""Shop Chewy for the best deals on Miami Dolphins Pet Gear and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Miami Dolphins Pet Gear for your pet.""",229,miami dolphins pet gear,Miami Dolphins Pet Gear,1,miami-dolphins-pet-gear,True,True,False,False,True,False,False,False,40,372,7,,,,,,,1,1,,0,0,0,1,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/baltimore-ravens-pet-gear_c8486_f47v235750,True,Move important URLs closer to major crawl paths.,7,BALTIMORE RAVENS PET GEAR (Free Shipping) | Chewy,49,"Shop Chewy for the best deals on Ravens Pet Gear and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Ravens Pet Gear for your pet.",211,raven dog toy,Ravens Pet Gear,1,baltimore-ravens-pet-gear,True,True,False,False,True,False,False,False,40,370,7,,,,,,,1,1,,0,0,0,1,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/denver-broncos-pet-gear_c8486_f47v85577,True,Move important URLs closer to major crawl paths.,7,DENVER BRONCOS PET GEAR (Free Shipping) | Chewy,47,"""Shop Chewy for the best deals on Broncos Pet Gear and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Broncos Pet Gear for your pet.""",215,denver broncos pet gear,Broncos Pet Gear,1,denver-broncos-pet-gear,True,True,False,False,True,False,False,False,40,375,7,,,,,,,1,1,1.0,1,0,0,0,1.0
